Milliseconds,Latitude,Longitude,Altitude
9476,35.7021674,51.3528266,1197.0
9500,35.7021674,51.3528266,1197.0
9526,35.7021674,51.3528266,1197.0
9550,35.7021674,51.3528266,1197.0
9575,35.7021674,51.3528266,1197.0
9600,35.7021674,51.3528266,1197.0
9626,35.7021674,51.3528266,1197.0
9650,35.7021674,51.3528266,1197.0
9675,35.7021674,51.3528266,1197.0
9701,35.7021674,51.3528266,1197.0
9725,35.7021674,51.3528266,1197.0
9751,35.7021674,51.3528266,1197.0
9775,35.7021674,51.3528266,1197.0
9800,35.7021674,51.3528266,1197.0
9826,35.7021674,51.3528266,1197.0
9850,35.7021674,51.3528266,1197.0
9875,35.7021674,51.3528266,1197.0
9901,35.7021674,51.3528266,1197.0
9925,35.7021674,51.3528266,1197.0
9950,35.7021674,51.3528266,1197.0
9976,35.7021674,51.3528266,1197.0
10000,35.7021674,51.3528266,1197.0
10025,35.7021674,51.3528266,1197.0
10051,35.7021674,51.3528266,1197.0
10076,35.7021674,51.3528266,1197.0
10100,35.7021674,51.3528266,1197.0
10125,35.7021674,51.3528266,1197.0
10151,35.7021674,51.3528266,1197.0
10175,35.7021674,51.3528266,1197.0
10200,35.7021674,51.3528266,1197.0
10226,35.7021674,51.3528266,1197.0
10250,35.7021674,51.3528266,1197.0
10276,35.7021674,51.3528266,1197.0
10300,35.7021674,51.3528266,1197.0
10326,35.7021674,51.3528266,1197.0
10351,35.7021674,51.3528266,1197.0
10375,35.7021674,51.3528266,1197.0
10401,35.7021674,51.3528266,1197.0
10425,35.7021674,51.3528266,1197.0
10450,35.7021674,51.3528266,1197.0
10475,35.7021674,51.3528266,1197.0
10501,35.7021674,51.3528266,1197.0
10525,35.7021674,51.3528266,1197.0
10550,35.7021674,51.3528266,1197.0
10576,35.7021674,51.3528266,1197.0
10600,35.7021674,51.3528266,1197.0
10625,35.7021674,51.3528266,1197.0
10651,35.7021674,51.3528266,1197.0
10675,35.7021674,51.3528266,1197.0
10700,35.7021674,51.3528266,1197.0
10725,35.7021674,51.3528266,1197.0
10751,35.7021674,51.3528266,1197.0
10775,35.7021674,51.3528266,1197.0
10800,35.7021674,51.3528266,1197.0
10826,35.7021674,51.3528266,1197.0
10851,35.7021674,51.3528266,1197.0
10876,35.7021674,51.3528266,1197.0
10900,35.7021674,51.3528266,1197.0
10925,35.7021674,51.3528266,1197.0
10951,35.7021674,51.3528266,1197.0
10975,35.7021674,51.3528266,1197.0
11000,35.7021674,51.3528266,1197.0
11026,35.7021674,51.3528266,1197.0
11050,35.7021674,51.3528266,1197.0
11075,35.7021674,51.3528266,1197.0
11101,35.7021674,51.3528266,1197.0
11125,35.7021674,51.3528266,1197.0
11150,35.7021674,51.3528266,1197.0
11175,35.7021674,51.3528266,1197.0
11201,35.7021674,51.3528266,1197.0
11225,35.7021674,51.3528266,1197.0
11250,35.7021674,51.3528266,1197.0
11276,35.7021674,51.3528266,1197.0
11300,35.7021674,51.3528266,1197.0
11325,35.7021674,51.3528266,1197.0
11350,35.7021674,51.3528266,1197.0
11376,35.7021674,51.3528266,1197.0
11400,35.7021674,51.3528266,1197.0
11425,35.7021674,51.3528266,1197.0
11451,35.7021674,51.3528266,1197.0
11475,35.7021674,51.3528266,1197.0
11500,35.7021674,51.3528266,1197.0
11525,35.7021674,51.3528266,1197.0
11551,35.7021674,51.3528266,1197.0
11575,35.7021674,51.3528266,1197.0
11600,35.7021674,51.3528266,1197.0
11625,35.7021674,51.3528266,1197.0
11651,35.7021674,51.3528266,1197.0
11675,35.7021674,51.3528266,1197.0
11700,35.7021674,51.3528266,1197.0
11726,35.7021674,51.3528266,1197.0
11750,35.7021674,51.3528266,1197.0
11775,35.7021674,51.3528266,1197.0
11801,35.7021674,51.3528266,1197.0
11825,35.7021674,51.3528266,1197.0
11850,35.7021674,51.3528266,1197.0
11875,35.7021674,51.3528266,1197.0
11901,35.7021674,51.3528266,1197.0
11925,35.7021674,51.3528266,1197.0
11950,35.7021674,51.3528266,1197.0
11975,35.7021674,51.3528266,1197.0
12001,35.7021674,51.3528266,1197.0
12025,35.7021674,51.3528266,1197.0
12050,35.7021674,51.3528266,1197.0
12075,35.7021674,51.3528266,1197.0
12101,35.7021674,51.3528266,1197.0
12125,35.7021674,51.3528266,1197.0
12150,35.7021674,51.3528266,1197.0
12176,35.7021674,51.3528266,1197.0
12200,35.7021674,51.3528266,1197.0
12226,35.7021674,51.3528266,1197.0
12250,35.7021674,51.3528266,1197.0
12275,35.7021674,51.3528266,1197.0
12300,35.7021674,51.3528266,1197.0
12326,35.7021674,51.3528266,1197.0
12350,35.7021674,51.3528266,1197.0
12375,35.7021674,51.3528266,1197.0
12400,35.7021674,51.3528266,1197.0
12425,35.7021674,51.3528266,1197.0
12451,35.7021674,51.3528266,1197.0
12475,35.7021674,51.3528266,1197.0
12500,35.7021674,51.3528266,1197.0
12526,35.7021674,51.3528266,1197.0
12550,35.7021674,51.3528266,1197.0
12576,35.7021674,51.3528266,1197.0
12600,35.7021674,51.3528266,1197.0
12625,35.7021674,51.3528266,1197.0
12651,35.7021674,51.3528266,1197.0
12675,35.7021674,51.3528266,1197.0
12700,35.7021674,51.3528266,1197.0
12725,35.7021674,51.3528266,1197.0
12751,35.7021674,51.3528266,1197.0
12775,35.7021674,51.3528266,1197.0
12800,35.7021674,51.3528266,1197.0
12826,35.7021674,51.3528266,1197.0
12850,35.7021674,51.3528266,1197.0
12876,35.7021674,51.3528266,1197.0
12900,35.7021674,51.3528266,1197.0
12925,35.7021674,51.3528266,1197.0
12950,35.7021674,51.3528266,1197.0
12976,35.7021674,51.3528266,1197.0
13000,35.7021674,51.3528266,1197.0
13025,35.7021674,51.3528266,1197.0
13051,35.7021674,51.3528266,1197.0
13075,35.7021674,51.3528266,1197.0
13100,35.7021674,51.3528266,1197.0
13126,35.7021674,51.3528266,1197.0
13150,35.7021674,51.3528266,1197.0
13176,35.7021674,51.3528266,1197.0
13200,35.7021674,51.3528266,1197.0
13225,35.7021674,51.3528266,1197.0
13251,35.7021674,51.3528266,1197.0
13275,35.7021674,51.3528266,1197.0
13300,35.7021674,51.3528266,1197.0
13326,35.7021674,51.3528266,1197.0
13350,35.7021674,51.3528266,1197.0
13375,35.7021674,51.3528266,1197.0
13401,35.7021674,51.3528266,1197.0
13425,35.7021674,51.3528266,1197.0
13450,35.7021674,51.3528266,1197.0
13476,35.7021674,51.3528266,1197.0
13500,35.7021674,51.3528266,1197.0
13525,35.7021674,51.3528266,1197.0
13551,35.7021674,51.3528266,1197.0
13575,35.7021674,51.3528266,1197.0
13600,35.7021674,51.3528266,1197.0
13626,35.7021674,51.3528266,1197.0
