Milliseconds,RotationVectorX,RotationVectorY,RotationVectorZ,RotationVectorcos,RotationVectorheadingAccuracy,CompassX,CompassY,CompassZ,GravityX,GravityY,GravityZ,AccelerometerLinearX,AccelerometerLinearY,AccelerometerLinearZ
11750.0,-0.2784563,-0.68098545,0.6449555,0.20676878,0.17453292,-2.5166457422595787,19.64210540770369,-36.72997629127453,-3.349810163699729e-07,-9.177180793074058e-08,9.806650897049249,3.0577168523979763,-2.6140385449667294,0.9163549278529598
11775.0,-0.28455147,-0.66981643,0.6514555000000001,0.21443443,0.17453292,-1.2958469551308225,17.951501291016637,-38.41695086750711,0.08842746854572342,0.06672862468639462,9.806024745452213,-0.35458460528627,-2.4803647454236772,-1.0841172628008315
11800.0,-0.28726068,-0.66485643,0.6528581,0.22186373,0.17453292,-0.8757143017043365,13.776332868867813,-41.24498986192653,2.28044610361966e-07,7.340313833981149e-07,9.806650476918392,-1.5561654156587141,-0.8622965980958346,-4.440249370726296
11825.0,-0.2912599,-0.6589781,0.6541720999999999,0.2301616,0.17453292,-1.762005630970589,12.470756021502492,-43.5065112880801,3.466857896317066e-07,2.4163211320704647e-07,9.806649785391116,-1.4897085931503178,-1.023078446369554,-5.974387170237549
11850.0,-0.29497197,-0.6531401,0.65627205,0.23602216,0.17453292,-1.3417798508976198,10.640599777099977,-43.50839444595185,-1.871574102918494e-07,5.168821149426073e-07,9.806650071593024,-1.0628145439136838,-1.343393893321465,-7.077870636708451
11875.0,-0.30251998,-0.6419536,0.6623069,0.24026415,0.17453292,-1.2925790189624689,9.59251893786928,-44.45147202693019,0.002083039742601253,0.11752018017851203,9.805946196470845,-0.6669754952119925,-1.812061332677268,-7.73126282313447
11900.0,-0.30160192,-0.64001733,0.6675083,0.23204921,0.17453292,0.7620641069005947,5.126487836644344,-42.72152153236923,-1.6051412751044714e-09,-1.2994518224125617e-07,9.806650857093327,0.7086323722652259,-1.8209250920791948,-8.01669421376504
11925.0,-0.29598509999999995,-0.6437894000000001,0.67189837,0.21559360000000002,0.17453292,1.4436575732976027,8.277663931737898,-42.99258492229754,3.848587460456021e-07,8.807264813802396e-07,9.806649691439704,1.5937473454937017,-0.9575979429029883,-7.725170195897861
11950.0,-0.28470695,-0.65716356,0.67053133,0.19356076,0.17453292,1.5876920354566968,9.92656178449527,-41.5202396837358,-1.5685248561103649e-07,-4.3113762202007244e-07,9.806650426903754,2.275641796503748,1.4081701505992195,-6.493738340260203
11975.0,-0.24253015,-0.7328885,0.61497545,0.16080657,0.17453292,3.4805546277892754,19.777773690952976,-37.037816323742575,-0.13843309576609758,-1.145344823619408,9.73855322485671,2.530230791542326,6.612951145553312,-1.4927746738068437
